"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"15:04:52:290","23843796770976","   0.000","  10.697"," 2261"," 1100"," 3500"," 2531","   3.467","   1.158","   0.322","   2.529","   0.845","   0.235"," 41","0"," 39"," 43","   0.590","   0.197","   0.055","  15.000","    0","    0"
"15:04:52:624","23844261815816","   0.334","  13.974"," 1476"," 1100"," 2900"," 1487","   2.554","   2.012","   0.559","   1.264","   1.267","   0.352"," 41","0"," 39"," 42","   0.747","   0.447","   0.124","  15.000","    0","    0"
"15:04:52:957","23844725879914","   0.667","  18.148"," 1890"," 1100"," 3000"," 2053","   3.997","   3.344","   0.929","   2.640","   2.148","   0.597"," 41","0"," 39"," 43","   0.835","   0.725","   0.201","  15.000","  500","  500"
"15:04:53:291","23845189803696","   1.001","  30.136"," 2528"," 1100"," 3400"," 3051","   8.988","   6.340","   1.761","   6.635","   4.359","   1.211"," 45","0"," 39"," 46","   1.751","   1.309","   0.363","  15.000","    0","    0"
"15:04:53:624","23845653416680","   1.334","  22.552"," 2367"," 1100"," 3700"," 2593","   7.684","   8.899","   2.472","   5.492","   6.188","   1.719"," 42","0"," 40"," 49","   1.598","   1.841","   0.511","  15.000","  500","  500"
"15:04:53:957","23846117207974","   1.667","  21.462"," 2131"," 1100"," 3500"," 2369","   5.986","  10.894","   3.026","   4.400","   7.654","   2.126"," 42","0"," 40"," 48","   1.240","   2.254","   0.626","  15.000","    0","    0"
"15:04:54:291","23846582247452","   2.001","  14.326"," 1473"," 1100"," 2600"," 1478","   2.573","  11.753","   3.265","   1.295","   8.087","   2.246"," 41","0"," 39"," 43","   0.909","   2.558","   0.710","  15.000","    0","    0"
"15:04:54:624","23847045980396","   2.334","  23.365"," 2173"," 1100"," 3000"," 2631","   4.856","  13.371","   3.714","   3.664","   9.308","   2.585"," 42","0"," 39"," 46","   1.048","   2.907","   0.807","  15.000","    0","    0"
"15:04:54:958","23847510189432","   2.668","  13.844"," 1600"," 1100"," 2800"," 1653","   2.511","  14.208","   3.947","   1.391","   9.772","   2.714"," 41","0"," 39"," 42","   0.765","   3.162","   0.878","  15.000","    0","    0"
"15:04:55:291","23847973805414","   3.001","  15.870"," 1831"," 1100"," 2900"," 1958","   3.784","  15.469","   4.297","   2.144","  10.486","   2.913"," 42","0"," 40"," 44","   1.085","   3.523","   0.979","  15.000","  500","  500"
"15:04:55:624","23848437444422","   3.334","   8.523"," 1733"," 1100"," 3700"," 1740","   2.499","  16.301","   4.528","   1.320","  10.925","   3.035"," 41","0"," 39"," 44","   0.800","   3.789","   1.053","  15.000","    0","    0"
"15:04:55:958","23848902489744","   3.668","   2.892"," 1259"," 1100"," 1700"," 1259","   0.604","  16.503","   4.584","   0.206","  10.994","   3.054"," 42","0"," 39"," 42","   0.349","   3.906","   1.085","  15.000","    0","    0"
"15:04:56:292","23849367509256","   4.002","   2.971"," 1290"," 1100"," 1700"," 1296","   0.534","  16.681","   4.634","   0.205","  11.063","   3.073"," 41","0"," 39"," 41","   0.332","   4.017","   1.116","  15.000","    0","    0"
"15:04:56:626","23849832508922","   4.336","   4.865"," 1560"," 1100"," 2800"," 1576","   1.105","  17.051","   4.736","   0.531","  11.240","   3.122"," 41","0"," 38"," 41","   0.514","   4.188","   1.163","  15.000","    0","    0"
"15:04:56:960","23850297544004","   4.670","   2.405"," 1245"," 1100"," 1800"," 1240","   0.668","  17.274","   4.798","   0.181","  11.300","   3.139"," 41","0"," 39"," 41","   0.397","   4.321","   1.200","  15.000","    0","    0"
"15:04:57:294","23850762571910","   5.004","   2.607"," 1384"," 1100"," 2000"," 1384","   0.583","  17.468","   4.852","   0.213","  11.372","   3.159"," 41","0"," 39"," 41","   0.330","   4.431","   1.231","  15.000","    0","    0"
"15:04:57:627","23851226208014","   5.337","   4.957"," 1557"," 1100"," 2600"," 1575","   0.980","  17.795","   4.943","   0.503","  11.539","   3.205"," 41","0"," 38"," 41","   0.446","   4.579","   1.272","  15.000","  500","  500"
"15:04:57:961","23851691270266","   5.671","   1.253"," 1221"," 1100"," 1700"," 1211","   0.431","  17.939","   4.983","   0.086","  11.568","   3.213"," 41","0"," 39"," 41","   0.309","   4.683","   1.301","  15.000","    0","    0"
"15:04:58:295","23852156343112","   6.005","   2.469"," 1439"," 1100"," 2600"," 1437","   0.562","  18.127","   5.035","   0.244","  11.649","   3.236"," 41","0"," 38"," 42","   0.331","   4.793","   1.331","  15.000","    0","    0"
"15:04:58:628","23852619991600","   6.338","   4.357"," 1628"," 1100"," 2600"," 1648","   0.990","  18.456","   5.127","   0.506","  11.818","   3.283"," 41","0"," 38"," 43","   0.452","   4.944","   1.373","  15.000","    0","    0"
"15:04:58:962","23853085009004","   6.673","   1.563"," 1260"," 1100"," 2000"," 1257","   0.467","  18.612","   5.170","   0.120","  11.858","   3.294"," 41","0"," 38"," 41","   0.324","   5.052","   1.403","  15.000","    0","    0"
