"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"14:45:42:579","22243412336168","   0.000","  16.668"," 2276"," 1100"," 3700"," 2629","   4.944","   1.647","   0.458","   3.530","   1.176","   0.327"," 41","0"," 37"," 44","   0.867","   0.289","   0.080","  15.000","    0","    0"
"14:45:42:913","22243877394330","   0.334","  16.039"," 2306"," 1100"," 3600"," 2695","   4.581","   3.178","   0.883","   3.662","   2.400","   0.667"," 39","0"," 38"," 47","   0.650","   0.506","   0.141","  15.000","    0","    0"
"14:45:43:246","22244341125026","   0.667","  18.287"," 1955"," 1100"," 3100"," 2087","   4.030","   4.520","   1.256","   2.730","   3.309","   0.919"," 39","0"," 37"," 41","   0.828","   0.782","   0.217","  15.000","  500","  500"
"14:45:43:579","22244804920874","   1.000","  15.334"," 2331"," 1100"," 3300"," 2654","   4.585","   6.048","   1.680","   3.283","   4.403","   1.223"," 41","0"," 37"," 43","   0.831","   1.059","   0.294","  15.000","    0","    0"
"14:45:43:912","22245269174972","   1.334","  16.492"," 1397"," 1100"," 3100"," 1409","   2.666","   6.937","   1.927","   1.375","   4.862","   1.350"," 39","0"," 38"," 41","   0.743","   1.307","   0.363","  15.000","  500","  500"
"14:45:44:246","22245733196930","   1.667","  13.019"," 1317"," 1100"," 2600"," 1320","   2.019","   7.610","   2.114","   0.964","   5.183","   1.440"," 39","0"," 37"," 40","   0.638","   1.520","   0.422","  15.000","  500","  500"
"14:45:44:579","22246197009148","   2.000","  21.857"," 1921"," 1100"," 2800"," 2349","   4.097","   8.975","   2.493","   2.681","   6.076","   1.688"," 42","0"," 37"," 43","   1.059","   1.872","   0.520","  15.000","  500","  500"
"14:45:44:913","22246662046786","   2.335","  25.347"," 2381"," 1100"," 3400"," 2891","   7.565","  11.503","   3.195","   5.105","   7.782","   2.162"," 40","0"," 38"," 45","   1.723","   2.448","   0.680","  15.000","    0","    0"
"14:45:45:247","22247127062298","   2.669","  13.887"," 1310"," 1100"," 2000"," 1317","   2.360","  12.291","   3.414","   1.028","   8.125","   2.257"," 40","0"," 38"," 40","   0.931","   2.759","   0.766","  15.000","    0","    0"
"14:45:45:581","22247591500170","   3.002","   9.834"," 1604"," 1100"," 2900"," 1619","   1.928","  12.934","   3.593","   1.056","   8.477","   2.355"," 40","0"," 38"," 40","   0.637","   2.972","   0.825","  15.000","  500","  500"
"14:45:45:915","22248056555190","   3.336","   4.313"," 1380"," 1100"," 2600"," 1375","   1.212","  13.339","   3.705","   0.382","   8.605","   2.390"," 40","0"," 37"," 40","   0.475","   3.130","   0.869","  15.000","    0","    0"
"14:45:46:249","22248521589154","   3.670","   2.984"," 1508"," 1100"," 2600"," 1520","   0.672","  13.564","   3.768","   0.286","   8.701","   2.417"," 40","0"," 37"," 40","   0.401","   3.264","   0.907","  15.000","    0","    0"
"14:45:46:583","22248986588856","   4.004","   8.515"," 1443"," 1100"," 2600"," 1452","   1.659","  14.118","   3.922","   0.806","   8.970","   2.492"," 39","0"," 37"," 40","   0.742","   3.512","   0.976","  15.000","    0","    0"
"14:45:46:917","22249451677716","   4.339","   1.470"," 1213"," 1100"," 2000"," 1200","   0.413","  14.256","   3.960","   0.096","   9.002","   2.501"," 40","0"," 37"," 40","   0.359","   3.632","   1.009","  15.000","    0","    0"
"14:45:47:251","22249916737012","   4.673","   2.698"," 1387"," 1100"," 2600"," 1382","   0.561","  14.443","   4.012","   0.219","   9.075","   2.521"," 39","0"," 37"," 40","   0.330","   3.743","   1.040","  15.000","    0","    0"
"14:45:47:585","22250381140972","   5.006","   4.151"," 1885"," 1100"," 2800"," 1901","   1.008","  14.780","   4.105","   0.568","   9.265","   2.574"," 39","0"," 37"," 40","   0.445","   3.891","   1.081","  15.000","    0","    0"
"14:45:47:919","22250846199360","   5.340","   1.836"," 1211"," 1100"," 1700"," 1200","   0.454","  14.931","   4.148","   0.135","   9.310","   2.586"," 39","0"," 37"," 40","   0.326","   4.000","   1.111","  15.000","    0","    0"
"14:45:48:253","22251311233976","   5.674","   2.766"," 1396"," 1100"," 2600"," 1403","   0.595","  15.130","   4.203","   0.232","   9.388","   2.608"," 39","0"," 37"," 40","   0.332","   4.111","   1.142","  15.000","    0","    0"
"14:45:48:587","22251776304996","   6.009","   4.078"," 2025"," 1100"," 3000"," 2130","   1.234","  15.542","   4.317","   0.717","   9.627","   2.674"," 39","0"," 37"," 40","   0.451","   4.262","   1.184","  15.000","    0","    0"
"14:45:48:920","22252239984758","   6.342","  14.918"," 2783"," 1100"," 3800"," 2836","   5.917","  17.513","   4.865","   5.330","  11.403","   3.167"," 41","0"," 37"," 50","   0.679","   4.488","   1.247","  15.000","    0","    0"
"14:45:49:253","22252703930630","   6.675","   4.140"," 1459"," 1100"," 3000"," 1369","   0.771","  17.770","   4.936","   0.376","  11.528","   3.202"," 40","0"," 38"," 41","   0.333","   4.599","   1.277","  15.000","    0","    0"
"14:45:49:588","22253168940352","   7.009","   4.225"," 1750"," 1100"," 2600"," 1772","   1.035","  18.116","   5.032","   0.548","  11.711","   3.253"," 39","0"," 37"," 40","   0.507","   4.768","   1.324","  15.000","    0","    0"
"14:45:49:922","22253633974034","   7.343","   1.266"," 1240"," 1100"," 1900"," 1200","   0.386","  18.245","   5.068","   0.080","  11.738","   3.261"," 40","0"," 37"," 39","   0.357","   4.887","   1.358","  15.000","    0","    0"
"14:45:50:255","22254097844266","   7.676","   3.128"," 1344"," 1100"," 2000"," 1357","   0.586","  18.440","   5.122","   0.236","  11.817","   3.282"," 39","0"," 37"," 39","   0.332","   4.998","   1.388","  15.000","    0","    0"
"14:45:50:589","22254562905202","   8.010","   4.199"," 1630"," 1100"," 2600"," 1629","   0.935","  18.752","   5.209","   0.465","  11.972","   3.326"," 39","0"," 37"," 39","   0.495","   5.163","   1.434","  15.000","    0","    0"
"14:45:50:923","22255027947686","   8.345","   1.549"," 1198"," 1100"," 1300"," 1200","   0.449","  18.902","   5.251","   0.114","  12.010","   3.336"," 39","0"," 37"," 40","   0.360","   5.283","   1.468","  15.000","    0","    0"
