HourEnding EST (12-01-2022),Energy (J),CAISO g CO2 e/kWh,MISO g CO2 e/kWh,File size (MB),Sense time (s),MISO (g CO2 e),CAISO (g CO2 e)
1,102.97758600000002,312.935539428955,566.1475998693878,17.938797,27.763501,0.016194586987289854,0.008951485117778225
2,49.343939999999996,306.53773774507226,570.4381989567886,9.018128,14.179707,0.007818796739731066,0.004201605483063494
3,29.973996000000003,297.9053801705376,584.7637635923368,4.373181,7.503495,0.004868807419683791,0.0024803929648917152
4,90.40983299999999,291.1407332778873,591.9033763844647,18.38045,27.512819,0.014864968169737662,0.00731166252087537
5,16.453197,294.17634933309296,599.0320802106314,2.460997,4.189372,0.0027377757847292556,0.001344483730088388
6,47.837115,288.0615525688185,610.3337218369213,10.713877,14.173534,0.008110167899969671,0.0038277871159203103
7,26.348292,289.0080762111845,599.0335472767969,4.16369,7.543537,0.004384308561512458,0.0021152414395473732
8,102.778452,286.5107664586495,603.1883159975995,17.696512,27.548253,0.017220767050755585,0.008179759182764867
9,14.342643000000002,276.02039797794083,611.5819746485787,2.13506,4.20298,0.0024365838687832268,0.00109968389692098
10,49.19076000000001,272.8460297587865,614.2083832166591,7.880649,14.184301,0.008392604769110754,0.003728195435227036
11,47.62932300000001,265.0393518981141,618.3260100669227,8.06288,14.18089,0.008180680347994088,0.0035065680275738727
12,14.436549000000001,251.86079389548192,625.2869738747538,2.336903,4.183045,0.0025074961215012788,0.0010100001922919515
13,16.588728,250.98211579410878,624.9817814585405,2.123811,4.183413,0.0028799035493253253,0.0011565205699369373
14,47.594358,240.2481282236665,620.1012935855164,9.879649,14.191711,0.008198145267547825,0.003176237617640858
15,15.642342000000001,234.39824858963883,615.947689354506,2.351093,4.186806,0.0026763512252758175,0.001018482657955597
16,92.883357,222.49043590840512,610.8405431845832,19.605113,27.543511,0.015760255622968768,0.005740460718768337
17,48.614337000000006,223.12933367778763,617.3137211871241,8.706855,14.205578,0.008336193687920804,0.003013134617221505
18,25.359282,240.844174634403,600.4919241189192,4.183318,7.556143,0.004230012234015076,0.0016965653729475202
19,14.775876,275.24294454690556,586.513356536484,2.469966,4.185478,0.0024072912857019103,0.0011297098940277646
20,24.894747000000006,290.79009029817615,576.2817219407154,4.283835,7.583727,0.003985107685677351,0.0020108738133556253
21,14.216103,291.21204419008683,581.1421114877771,2.202544,4.165783,0.002294882254041034,0.001149972337513007
22,92.50273800000001,287.1785834132839,581.0852405736616,21.186399,27.563813,0.014931104379014553,0.00737911257241393
23,46.269351,284.21198621432063,581.1422662086206,8.515416,14.172654,0.007469187637817252,0.0036528622634882115
24,45.143478,285.4311297416609,576.0733044993848,9.605247,14.17746,0.007223875707793133,0.0035792649794466154
